"id","name","sku","barcode","category_id","purchase_price","selling_price","stock","min_stock","unit","created_at"
"144","Queen Elizabeth Cocoa Butter Cream ( Big)","SKU-MTAIP7Y7","6186000077014",,"30.00","35.00","4","2","pcs","""2026-08-26T19:59:29.420Z"""
"145","Queen Elizabeth Cocoa Butter Cream ( medium)","SKU-MTAIRA76","6186000077021",,"20.00","25.00","6","2","pcs","""2026-08-26T20:01:05.647Z"""
"146","Queen Elizabeth Cocoa Butter Cream ( Small)","SKU-MTAIS7CP","6186000077038",,"12.00","18.00","6","2","pcs","""2026-08-26T20:01:48.615Z"""
"147","Palmers Cocoa Butter Cream","SKU-MTAIUX5N","010181140082",,"120.00","140.00","1","1","pcs","""2026-08-26T20:03:55.369Z"""
"148","Palmers Cocoa Butter Lotion","SKU-MTAIZ1Y8","010181141652",,"110.00","130.00","2","1","pcs","""2026-08-26T20:07:08.203Z"""
"149","Jergens Lotion","SKU-MTAJ0WB6","019100109995",,"150.00","170.00","1","1","pcs","""2026-08-26T20:08:34.207Z"""
"150","NIVEA Q10","SKU-MTAJ84EK","4005808237487",,"70.00","85.00","2","1","pcs","""2026-08-26T20:14:11.290Z"""
"151","NIVEA COCOA ","SKU-MTAJ9ARZ","4005900593429",,"50.00","65.00","2","1","pcs","""2026-08-26T20:15:06.202Z"""
"152","NIVEA PERFECT & RADIANT","SKU-MTAJAFX8","4005900378606",,"50.00","65.00","2","1","pcs","""2026-08-26T20:15:59.528Z"""
"153","NIVEA VIT C","SKU-MTAJBAE9","4005900925046",,"70.00","85.00","2","1","pcs","""2026-08-26T20:16:39.021Z"""
"154","VASELINE Big Size","SKU-MTAJEKMC","6001087005630",,"40.00","50.00","2","1","pcs","""2026-08-26T20:19:12.239Z"""
"155","Vaseline Small Size Original","SKU-MTAJI4HR","6001085120946",,"19.00","27.00","4","2","pcs","""2026-08-26T20:21:57.963Z"""
"156","Vaseline Small Size Aleo vera","SKU-MTAJJ5HD","60018915",,"19.00","27.00","2","1","pcs","""2026-08-26T20:22:45.902Z"""
"157","Kuza Indian Hemp Hair Food","SKU-MTAJL0F2",,,"40.00","45.00","2","1","pcs","""2026-08-26T20:24:12.649Z"""
"158","Cera Ve Lotion","SKU-MTAJMLMN","3612623986202",,"200.00","230.00","2","1","pcs","""2026-08-26T20:25:26.797Z"""
"159","Aveeno Body Lotion","SKU-MTAJNKJ7","3574661604732",,"220.00","250.00","2","1","pcs","""2026-08-26T20:26:12.031Z"""
"160","OLAY Vit C Lotion","SKU-MTAJOUDB","075609201059",,"200.00","230.00","2","1","pcs","""2026-08-26T20:27:11.436Z"""
"161","Fair & White Exclusive","SKU-MTAJR3ON","877917005264",,"240.00","260.00","1","0","pcs","""2026-08-26T20:28:56.821Z"""
"162","Fair & White So White","SKU-MTAJS764","877917000221",,"230.00","250.00","1","0","pcs","""2026-08-26T20:29:47.994Z"""
"163","Fruiser Shower Cream Goat Milk","SKU-MTAJZX82","9557887188389",,"70.00","80.00","1","0","pcs","""2026-08-26T20:35:48.351Z"""
"164","Fruiser Shower Cream UV White","SKU-MTAK0UKI","9557887179417",,"70.00","80.00","1","1","pcs","""2026-08-26T20:36:31.565Z"""
"165","COSMO GLOW Carrot","SKU-MTAK2WZX","6294015196511",,"60.00","70.00","1","0","pcs","""2026-08-26T20:38:08.024Z"""
"166","COSMO GLOW Skin Perfect","SKU-MTAK4AFE","6294015196498",,"70.00","80.00","1","0","pcs","""2026-08-26T20:39:12.088Z"""
"167","COSMO GLOW Miss Beauty","SKU-MTAK5IKO","6294015196528",,"70.00","80.00","1","0","pcs","""2026-08-26T20:40:09.301Z"""
"168","DOVE Purely Pampering","SKU-MTAK8BZF","8712561609647",,"55.00","65.00","1","0","pcs","""2026-08-26T20:42:20.727Z"""
"169","Dove Relaxing","SKU-MTAK96ZP","8712561631204",,"55.00","65.00","2","1","pcs","""2026-08-26T20:43:00.917Z"""
"170","Dove Deeply Nourishing","SKU-MTAKA7IZ","8712561594424",,"70.00","80.00","3","1","pcs","""2026-08-26T20:43:48.264Z"""
"171","PALMOLIVE Shower Gel","SKU-MTAKBMD9","8718951217003",,"40.00","50.00","3","1","pcs","""2026-08-26T20:44:54.153Z"""
"172","Irish Spring ","SKU-MTAKGOTD","6001067500056",,"12.50","15.00","6","2","pcs","""2026-08-26T20:48:50.606Z"""
"173","Dove Cake Soap","SKU-MTAKI0GR","7501056371838",,"55.00","65.00","1","1","pcs","""2026-08-26T20:49:52.359Z"""
"174","Pepsodent Cavity Fighter","SKU-MTAKUYUR","8934839128302",,"17.50","20.00","9","3","pcs","""2026-08-26T20:59:56.801Z"""
"175","Pepsodent Charcoal White","SKU-MTAKW8KI","8934839133535",,"18.00","23.00","10","3","pcs","""2026-08-26T21:00:56.045Z"""
